MovieName,Director,Cast,Duration,ReleaseDate,Genre,Production,Rating_MyMovies,Rating_Critic,Rating_Public,Rating_Average,TopParagraph,BottomParagraph
Find Me,Luca Guadagnino,"Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar, Esther Garrel",,,Drammatico - Italia,,,,"2,95",,"Regia di Luca Guadagnino. Un film con Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar, Esther Garrel. Titolo originale: Find me. Genere Drammatico - Italia, Progetto in lavorazione",Elio e Oliver viaggiano negli Stati Uniti durante gli Anni Novanta.
Gli ultimi giorni dell'umanità,"enrico ghezzi, alessandro gagliardo",,196,8 maggio 2023,Sperimentale,Cineteca di Bologna,"4,00","3,94","4,95","4,30","Regia di enrico ghezzi, alessandro gagliardo. Un film Da vedere 2022 Genere Sperimentale, - Italia, 2022, durata 196 minuti. Uscita cinema lunedì 8 maggio 2023 distribuito da Cineteca di Bologna. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 4,30 su 10 recensioni tra critica, pubblico e dizionari.","Frammenti di personaggi, luoghi e situazioni in un'opera che rappresenta a pieno lo spirito di enrico ghezzi. In Italia al Box Office Gli ultimi giorni dell'umanità ha incassato  10,5 mila euro ."
In viaggio,Gianfranco Rosi,Jorge Mario Bergoglio,80,4 ottobre 2022,Documentario,01 Distribution,"3,00","3,03","4,00","3,34","Regia di Gianfranco Rosi. Un film Da vedere 2022 con Jorge Mario Bergoglio. Genere Documentario, - Italia, 2022, durata 80 minuti. Uscita cinema martedì 4 ottobre 2022 distribuito da 01 Distribution. - MYmonetro 3,34 su 16 recensioni tra critica, pubblico e dizionari.","Gianfranco Rosi ripercorre i viaggi del Papa impostando un dialogo a distanza tra il flusso dell'archivio dei viaggi del Papa, le immagini del suo cinema, l'attualità e la storia recente. Il film ha ottenuto 1 candidatura a David di Donatello, In Italia al Box Office In viaggio ha incassato  41,3 mila euro ."
"Se Fate i Bravi - Genova 2001, il sogno e la violenza","Stefano Collizzolli, Daniele Gaglianone",Evandro Fornasier,101,8 novembre 2022,Documentario,ZaLab,"3,50","3,00","3,67","3,39","Regia di Stefano Collizzolli, Daniele Gaglianone. Un film Da vedere 2022 con Evandro Fornasier. Genere Documentario, - Italia, Belgio, 2022, durata 101 minuti. Uscita cinema martedì 8 novembre 2022 distribuito da ZaLab. - MYmonetro 3,39 su 5 recensioni tra critica, pubblico e dizionari.","Il sogno di Genova 2001 è ancora vivo, perché presenti sono ancora i temi e i problemi di quei giorni. In Italia al Box Office Se Fate i Bravi - Genova 2001, il sogno e la violenza ha incassato  12,8 mila euro ."
Time Is Up 2,Elisa Amoruso,Michael E,,,Drammatico - Italia,,,,,,"Regia di Elisa Amoruso. Un film con Michael E. Rodgers, Simone Coppo, Alma Noce, Benjamin Mascolo. Titolo originale: Time Is Up 2. Genere Drammatico - Italia, 2022,","Qualcosa li ha fatti incontrare ma qualcuno li metterà a dura prova! In Italia al Box Office Time Is Up 2 ha incassato  1,1 mila euro ."
Come le tartarughe,Monica Dugo,"Monica Dugo, Romana Maggiora Vergano, Edoardo Boschetti, Angelo Libri, Sandra Collodel",82,24 agosto 2023,Drammatico,Cloud 9,"2,00","2,50","3,73","2,74","Regia di Monica Dugo. Un film con Monica Dugo, Romana Maggiora Vergano, Edoardo Boschetti, Angelo Libri, Sandra Collodel. Cast completo Genere Drammatico, - Italia, 2022, durata 82 minuti. Uscita cinema giovedì 24 agosto 2023 distribuito da Cloud 9. - MYmonetro 2,74 su 4 recensioni tra critica, pubblico e dizionari.","Una donna viene lasciata dal marito. Affronta la sitazione entrando in un armadio. In Italia al Box Office Come le tartarughe ha incassato  8,8 mila euro ."
Amusia,Marescotti Ruspoli,"Fanny Ardant, Maurizio Lombardi, Adriano Chiaramida, Carlotta Gamba, Giampiero De Concilio",91,27 aprile 2023,Drammatico,102 Distribution,"3,00","2,80","4,00","3,27","Regia di Marescotti Ruspoli. Un film Da vedere 2022 con Fanny Ardant, Maurizio Lombardi, Adriano Chiaramida, Carlotta Gamba, Giampiero De Concilio. Genere Drammatico, - Italia, 2022, durata 91 minuti. Uscita cinema giovedì 27 aprile 2023 distribuito da 102 Distribution. - MYmonetro 3,27 su 6 recensioni tra critica, pubblico e dizionari.","Una storia d'amore tra una ragazza che ""scappa"" dalla musica e un ragazzo che ""sopravvive"" grazie alla musica. In Italia al Box Office Amusia ha incassato nelle prime 7 settimane di programmazione 18,6 mila euro  e 87 euro nel primo weekend."
Bassifondi,Francesco Pividori,"Gabriele Silli, Romano Talevi, Edoardo Pesce, Asia Zanzuri",94,15 giugno 2023,Drammatico,Cloud 9,"3,50","3,23",,"3,37","Regia di Francesco Pividori. Un film Da vedere 2022 con Gabriele Silli, Romano Talevi, Edoardo Pesce, Asia Zanzuri. Genere Drammatico, - Italia, 2022, durata 94 minuti. Uscita cinema giovedì 15 giugno 2023 distribuito da Cloud 9. Consigli per la visione di bambini e ragazzi: V.M. 14 - MYmonetro 3,37 su 12 recensioni tra critica, pubblico e dizionari.","Nelle vicissitudini dei senzatetto Romeo e Callisto la grande storia di un impossibile amore fraterno e un viaggio visionario verso la morte. Opera prima di Francesco Pividori. In Italia al Box Office Bassifondi ha incassato  10,4 mila euro ."
Kill me If You Can,Alex Infascelli,Raffaele Minichello,90,27 febbraio 2023,Documentario,Wanted,"3,00","3,07","4,00","3,36","Regia di Alex Infascelli. Un film Da vedere 2022 con Raffaele Minichello. Genere Documentario, - Italia, 2022, durata 90 minuti. Uscita cinema lunedì 27 febbraio 2023 distribuito da Wanted. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,36 su 8 recensioni tra critica, pubblico e dizionari.","L'incredibile storia di Raffaele Minichiello che ha ispirato il personaggio di Rambo. Il film ha ottenuto 1 candidatura ai Nastri d'Argento,  1 candidatura a David di Donatello, In Italia al Box Office Kill me If You Can ha incassato nelle prime 11 settimane di programmazione 5,8 mila euro  e 925 euro nel primo weekend."
Po,Andrea Segre,,90,29 marzo 2022,Documentario,ZaLab,"3,50","3,08",,"3,29","Regia di Andrea Segre. Un film Da vedere 2022 Genere Documentario, - Italia, 2022, durata 90 minuti. Uscita cinema martedì 29 marzo 2022 distribuito da ZaLab. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,29 su 7 recensioni tra critica, pubblico e dizionari.","Documentario girato in Polesine, nella memoria dell'alluvione che lo sommerse nel 1951. In Italia al Box Office Po ha incassato  40,9 mila euro ."
L'uomo che disegnò Dio,Franco Nero,"Franco Nero, Stefania Rocca, Robert Davi, Kevin Spacey, Massimo Ranieri",110,2 marzo 2023,Drammatico,L'Altrofilm,"2,50","2,36",,"2,43","Regia di Franco Nero. Un film con Franco Nero, Stefania Rocca, Robert Davi, Kevin Spacey, Massimo Ranieri. Cast completo Genere Drammatico, - Italia, 2022, durata 110 minuti. Uscita cinema giovedì 2 marzo 2023 distribuito da L'Altrofilm. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,43 su 8 recensioni tra critica, pubblico e dizionari.","La storia di un anziano signore non vedente, insegnante di ritrattistica a carboncino in una scuola serale. In Italia al Box Office L'uomo che disegnò Dio ha incassato nelle prime 9 settimane di programmazione 13,2 mila euro  e 6,1 euro nel primo weekend."
The Slaughter - La Mattanza,Dario Germani,"Roberto Luigi Mauri, Tonia De Micco, Fabrizio Bordignon, Robert Madison",,21 luglio 2022,Horror,Flat Parioli,"2,50","2,33",,"2,42","Regia di Dario Germani. Un film con Roberto Luigi Mauri, Tonia De Micco, Fabrizio Bordignon, Robert Madison. Cast completo Genere Horror, - Italia, 2022, Uscita cinema giovedì 21 luglio 2022 distribuito da Flat Parioli. - MYmonetro 2,42 su 4 recensioni tra critica, pubblico e dizionari.","Quattro ragazze e tre ragazzi decidono di trascorrere una notte di sballo all'interno di un grande stabilimento cinematografico di sviluppo e stampa. Sarà l'inizio di una notte di terrore. In Italia al Box Office The Slaughter - La Mattanza ha incassato nelle prime 3 settimane di programmazione 14,7 mila euro  e 4,8 euro nel primo weekend."
Fedeltà,"Andrea Molaioli, Stefano Cipani","Michele Riondino, Lucrezia Guidone, Carolina Sala, Leonardo Pazzagli, Maria Paiato",,,Drammatico - Italia,,"3,00","1,90",,"2,45","Regia di Andrea Molaioli, Stefano Cipani. Una serie con Michele Riondino, Lucrezia Guidone, Carolina Sala, Leonardo Pazzagli, Maria Paiato. Cast completo Genere Drammatico - Italia, 2022, - MYmonetro 2,45 su 6 recensioni tra critica, pubblico e dizionari. STAGIONI: 1 - EPISODI: 6",Nuova serie originale italiana di Netflix tratta dall'omonimo romanzo di Marco Missiroli
Rosanero,Andrea Porporati,"Salvatore Esposito, Fabiana Carlucci, Antonio Milo, Ciro Esposito, Salvatore Striano",,1 agosto 2022,Drammatico,Vision Distribution,,"2,13",,,"Regia di Andrea Porporati. Un film con Salvatore Esposito, Fabiana Carlucci, Antonio Milo, Ciro Esposito, Salvatore Striano. Cast completo Genere Drammatico, - Italia, 2022, Uscita cinema lunedì 1 agosto 2022 distribuito da Vision Distribution.",Un camorrista e una bambina vedranno stravolte le loro viste per sempre.
Libera Nos - Il Trionfo sul Male,"Giovanni Ziberna, Valeria Baldan",,122,,Docu-fiction - Italia,,,,"5,00",,"Regia di Giovanni Ziberna, Valeria Baldan. Un film Genere Docu-fiction - Italia, 2022, durata 122 minuti.","Una docu-fiction che approfondisce vari aspetti della possessione diabolica. In Italia al Box Office Libera Nos - Il Trionfo sul Male ha incassato  65,5 mila euro ."
Le ragazze non piangono,Andrea Zuliani,"Matteo Martari, Irene Maiorino, Max Mazzotta, Yuri Casagrande Conti, Emma Benini",100,,Drammatico - Italia,,"3,00",,,,"Regia di Andrea Zuliani. Un film con Matteo Martari, Irene Maiorino, Max Mazzotta, Yuri Casagrande Conti, Emma Benini. Cast completo Titolo internazionale: Girls Don't Cry. Genere Drammatico - Italia, 2022, durata 100 minuti.","Due ragazze apparentemente molto diverse si trovano coinvolte in una strana fuga. In Italia al Box Office Le ragazze non piangono ha incassato  6,3 mila euro ."
È stato tutto bello - Storia di Paolino e Pablito,Walter Veltroni,,107,19 settembre 2022,Documentario,Vision Distribution,"2,50","2,38",,"2,44","Regia di Walter Veltroni. Un film Genere Documentario, - Italia, 2022, durata 107 minuti. Uscita cinema lunedì 19 settembre 2022 distribuito da Vision Distribution. - MYmonetro 2,44 su 5 recensioni tra critica, pubblico e dizionari.","Filmati privati, interviste a chi lo ha conosciuto nella sua intimita`, repertorio delle sue prove piu` straordinarie e testimonianze dei suoi momenti piu` difficili. Il film ha ottenuto 1 candidatura ai Nastri d'Argento, In Italia al Box Office È stato tutto bello - Storia di Paolino e Pablito ha incassato  22,4 mila euro .

                                

Passaggio in TV
                                        martedì 20 febbraio 2024 ore 9,35 su  SKYCINEMA2"
L'amore allegro,Francesco Bonelli,"Maurizio Mattioli, Valentina Ruggeri, Teresa Federico, Francesco Bonelli",98,,Commedia - Italia,,,,"3,00",,"Regia di Francesco Bonelli. Un film con Maurizio Mattioli, Valentina Ruggeri, Teresa Federico, Francesco Bonelli. Cast completo Genere Commedia - Italia, 2022, durata 98 minuti.","Amicizia, passione e comicità sono gli ingredienti di questa commedia tutta all'Italiana, immersa in una Roma coinvolgente e romantica. In Italia al Box Office L'amore allegro ha incassato  100  ."
Le voci sole,"Andrea Brusa, Marco Scotuzzi","Giovanni Storti, Davide Calgaro, Alessandra Faiella",80,4 luglio 2022,Drammatico,Medusa,"3,00","2,86","5,00","3,62","Regia di Andrea Brusa, Marco Scotuzzi. Un film Da vedere 2022 con Giovanni Storti, Davide Calgaro, Alessandra Faiella. Genere Drammatico, - Italia, 2022, durata 80 minuti. Uscita cinema lunedì 4 luglio 2022 distribuito da Medusa. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,62 su 8 recensioni tra critica, pubblico e dizionari.","Una coppia, lontana per esigenze lavorative, si ritrova famosa dopo la pubblicazione di un video sul web. In Italia al Box Office Le voci sole ha incassato  9,6 mila euro ."
I viaggiatori,Ludovico Di Martino,"Fabrizio Gifuni, Vanessa Scalera, Matteo Schiavone, Fabio Bizzarro, Gianmarco Saurino",102,,Avventura - Italia,,"2,00","2,30","4,90","3,07","Regia di Ludovico Di Martino. Un film con Fabrizio Gifuni, Vanessa Scalera, Matteo Schiavone, Fabio Bizzarro, Gianmarco Saurino. Cast completo Genere Avventura - Italia, 2022, durata 102 minuti. - MYmonetro 3,07 su 6 recensioni tra critica, pubblico e dizionari.","Un film d'avventura che vede come protagonisti un gruppo di ragazzi che, grazie a una macchina del tempo, viaggeranno fino al 1939, nella Roma fascista di Benito Mussolini."
Tintoretto - L'artista che uccise la pittura,Erminio Perocco,,90,11 aprile 2022,Documentario,Kublai Film,"3,00",,"5,00","4,00","Regia di Erminio Perocco. Un film Genere Documentario, - Italia, 2022, durata 90 minuti. Uscita cinema lunedì 11 aprile 2022 distribuito da Kublai Film. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 4,00 su 2 recensioni tra critica, pubblico e dizionari.","Biopic su Tintoretto con focus sull'innovazione da lui rappresentata nel campo della pittura. In Italia al Box Office Tintoretto - L'artista che uccise la pittura ha incassato nelle prime 5 settimane di programmazione 33,1 mila euro  e 26,3 euro nel primo weekend."
Radiopornopanda,Mauro Russo Rouge,,81,,Docu-fiction - Italia,,,,,,"Regia di Mauro Russo Rouge. Un film Genere Docu-fiction - Italia, 2022, durata 81 minuti.","Attraverso la vita reale di Pandina e Pandone, l'esplorazione del mondo degli spettacoli di coppia online a pagamento. 
                                


   Guarda subito su iWonderfull"
"Italia 1982, una storia azzurra",Coralla Ciccolini,,,11 luglio 2022,Documentario,Vision Distribution,"3,50",,,,"Regia di Coralla Ciccolini. Un film Da vedere 2022 Genere Documentario, - Italia, 2022, Uscita cinema lunedì 11 luglio 2022 distribuito da Vision Distribution. Valutazione: 3,5 Stelle, sulla base di 3 recensioni.",Il trionfo dell'Italia nei mondiali dell''82 in un documentario dalle immagine inedite.
Spin me Round,Jeff Baena,"Alison Brie, Aubrey Plaza, Tricia Helfer, Debby Ryan, Alessandro Nivola",104,,Commedia - USA,,,,"1,00",,"Regia di Jeff Baena. Un film con Alison Brie, Aubrey Plaza, Tricia Helfer, Debby Ryan, Alessandro Nivola. Cast completo Genere Commedia - USA, Italia, 2022, durata 104 minuti.",Una commedia sentimentale su una ragazza in cerca di futuro e... amore.
Questa notte parlami dell'Africa,"Carolina Boco, Luca La Vopa","Roberta Mastromichele, Corrado Fortuna, Diane Fleri, Marlon Joubert, Grace Neema Enock",96,27 ottobre 2022,Drammatico,Draka,"2,50",,"3,00","2,75","Regia di Carolina Boco, Luca La Vopa. Un film con Roberta Mastromichele, Corrado Fortuna, Diane Fleri, Marlon Joubert, Grace Neema Enock. Cast completo Genere Drammatico, - Italia, 2022, durata 96 minuti. Uscita cinema giovedì 27 ottobre 2022 distribuito da Draka. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,75 su 3 recensioni tra critica, pubblico e dizionari.","Un film sul valore universale dell'amicizia, in cui l'incontro tra due donne diventa il simbolo dei due mondi che esse rappresentano: l'Europa e il mondo arabo-africano. In Italia al Box Office Questa notte parlami dell'Africa ha incassato  6,4 mila euro ."
Quel posto nel tempo,Giuseppe Alessio Nuzzo,"Tomas Arana, Erasmo Genzini, Leo Gullotta, Beatrice Arnera, Giovanna Rei",,21 settembre 2022,Drammatico,Nexo Digital,"3,00",,,,"Regia di Giuseppe Alessio Nuzzo. Un film con Tomas Arana, Erasmo Genzini, Leo Gullotta, Beatrice Arnera, Giovanna Rei. Cast completo Genere Drammatico, - Italia, 2022, Uscita cinema mercoledì 21 settembre 2022 distribuito da Nexo Digital. Valutazione: 3 Stelle, sulla base di 3 recensioni.","Il raccono di una malattia attraverso la poesia del tempo che passa, dei ricordi che si cancellano e quelli che riemergono, incoerenti e irrazionali. L'Alzheimer. In Italia al Box Office Quel posto nel tempo ha incassato  9,2 mila euro ."
Tutankhamon - L'ultima mostra,Ernesto Pagano,Manuel Agnelli,,9 maggio 2022,Arte,Nexo Digital,"4,00",,,,"Regia di Ernesto Pagano. Un film Da vedere 2022 con Manuel Agnelli. Genere Arte, - Italia, 2022, Uscita cinema lunedì 9 maggio 2022 distribuito da Nexo Digital. Consigli per la visione di bambini e ragazzi: +13 Valutazione: 4 Stelle, sulla base di 3 recensioni.","L'ultima mostra in assoluto dedicata al tesoro perché per volere del governo egiziano ora questo patrimonio immenso diverrà inamovibile e potrà  essere visitato solo nella sua sede del Cairo. In Italia al Box Office Tutankhamon - L'ultima mostra ha incassato  92,6 mila euro ."
Federica Pellegrini - Underwater,Sara Ristori,,,10 gennaio 2022,Documentario,Notorious Pictures,"3,50","2,67",,"3,09","Regia di Sara Ristori. Un film Da vedere 2022 Genere Documentario, - Italia, 2022, Uscita cinema lunedì 10 gennaio 2022 distribuito da Notorious Pictures. - MYmonetro 3,09 su 4 recensioni tra critica, pubblico e dizionari.","Il film documentario dedicato dalla ""divina"" del nuoto italiano."
Involontaria - L'esame,Alessandro Guida,"Francesco Foti, Elvira Camarrone, Elisa Visari, Christian Roberto, Ruben Mulet Porena",,,Drammatico - Italia,,,,,,"Regia di Alessandro Guida. Un film con Francesco Foti, Elvira Camarrone, Elisa Visari, Christian Roberto, Ruben Mulet Porena. Cast completo Genere Drammatico - Italia, 2022,",Il dramma di una giovane donna che cerca di costruirsi un futuro.
Eddie & Sunny,Desmond Devenish,"Joanna Vanderham, Gabriel Luna, Alexia Murray, Lorenzo McGovern Zaini, Katie McGovern",98,24 marzo 2022,Drammatico,RS Productions,,,"2,50",,"Regia di Desmond Devenish. Un film con Joanna Vanderham, Gabriel Luna, Alexia Murray, Lorenzo McGovern Zaini, Katie McGovern. Cast completo Genere Drammatico, - Italia, 2022, durata 98 minuti. Uscita cinema giovedì 24 marzo 2022 distribuito da RS Productions. Consigli per la visione di bambini e ragazzi: +13","Eddie, Sunny e Jackson Cody sono una famiglia di senzatetto americana che raggiungerà luoghi lontanissimi per salvarsi. Toccheranno il fondo. Si perderanno l'un l'altro. Aspetteranno. In Italia al Box Office Eddie & Sunny ha incassato  103 mila euro ."
Il viaggio degli eroi,Manlio Castagna,Marco Giallini,,20 giugno 2022,Documentario,Altre Storie,"3,50","2,75",,"3,13","Regia di Manlio Castagna. Un film Da vedere 2022 con Marco Giallini. Genere Documentario, - Italia, 2022, Uscita cinema lunedì 20 giugno 2022 distribuito da Altre Storie. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,13 su 7 recensioni tra critica, pubblico e dizionari.","Il film ripercorre le sette partite, come le tappe di un viaggio, che hanno portato l'Italia, guidata dal CT Enzo Bearzot, ad aggiudicarsi la Coppa del mondo e a compiere questa straordinaria impresa."
Pier Paolo Pasolini - Una visione nuova,Giancarlo Scarchilli,,72,5 marzo 2023,Documentario,Medusa,"3,50","2,67",,"3,09","Regia di Giancarlo Scarchilli. Un film Da vedere 2022 Genere Documentario, - Italia, 2022, durata 72 minuti. Uscita cinema domenica 5 marzo 2023 distribuito da Medusa. - MYmonetro 3,09 su 4 recensioni tra critica, pubblico e dizionari.","Pasolini incontra i grandi protagonisti del cinema italiano come Bertolucci, Ferretti, Morricone e Donati. In Italia al Box Office Pier Paolo Pasolini - Una visione nuova ha incassato  16,8 mila euro ."
Il Cristo in gola,Antonio Rezza,,78,,Drammatico - Italia,,,"4,25",,,"Regia di Antonio Rezza. Un film Genere Drammatico - Italia, 2022, durata 78 minuti.","Il Vangelo secondo Antonio Rezza, già Leone d'oro per il teatro: un film comico, satirico, tragico, religioso. In Italia al Box Office Il Cristo in gola ha incassato  27,4 mila euro ."
I morti rimangono con la bocca aperta,Fabrizio Ferraro,"Domenico D'Addabbo, Emiliano Marrocchi, Fabio Fusco, Olimpia Bonato, Antonio Sinisi",84,,Drammatico,Boudu,"3,00","3,25","1,00","2,42","Regia di Fabrizio Ferraro. Un film Da vedere 2022 con Domenico D'Addabbo, Emiliano Marrocchi, Fabio Fusco, Olimpia Bonato, Antonio Sinisi. Genere Drammatico, - Italia, 2022, durata 84 minuti. distribuito da Boudu. - MYmonetro 2,42 su 5 recensioni tra critica, pubblico e dizionari.",Un film in bianco e nero che si rivolge al passato per interrogare la contemporaneità.
Non mi lasciare,Ciro Visco,"Eugenio Franceschini, Federica Girardello, Vittoria Puccini, Alessandro Roja",,,Drammatico - Italia,,"3,50",,"5,00","4,25","Regia di Ciro Visco. Una serie Da vedere 2022 con Eugenio Franceschini, Federica Girardello, Vittoria Puccini, Alessandro Roja. Cast completo Genere Drammatico - Italia, 2022, - MYmonetro 4,25 su 2 recensioni tra critica, pubblico e dizionari.","Le vicende di Elena Zonin, una poliziotta che vive a Roma dove si occupa di crimini informatici e, in particolare, di reati contro l'infanzia."
Noi,Luca Ribuoli,"Lino Guanciale, Aurora Ruffino, Dario Aita, Claudia Marsicano, Italo Amerighi",,,Commedia - Italia,,"2,50",,,,"Regia di Luca Ribuoli. Una serie con Lino Guanciale, Aurora Ruffino, Dario Aita, Claudia Marsicano, Italo Amerighi. Cast completo Genere Commedia - Italia, 2022, Valutazione: 2,5 Stelle, sulla base di 2 recensioni. STAGIONI: 1 - EPISODI: 12","Pietro e Rebecca sono una giovane coppia che affronta la sfida di crescere tre figli; Claudio, Caterina e Daniele cercano la propria strada verso la felicità."
La prima regola,Massimiliano D'Epiro,"Marius Bizau, Haroun Fall, Andrea Fuorto, Ileana D'Ambra, Luca Chikovani",96,1 dicembre 2022,Drammatico,Notorious Pictures,"2,00","2,33","3,33","2,55","Regia di Massimiliano D'Epiro. Un film con Marius Bizau, Haroun Fall, Andrea Fuorto, Ileana D'Ambra, Luca Chikovani. Cast completo Genere Drammatico, - Italia, 2022, durata 96 minuti. Uscita cinema giovedì 1 dicembre 2022 distribuito da Notorious Pictures. - MYmonetro 2,55 su 7 recensioni tra critica, pubblico e dizionari.","Una scuola superiore di periferia, strutture, studenti e corpo docente sono lo specchio esemplare di una depressione sociale ed economica che sembra irreversibile. In Italia al Box Office La prima regola ha incassato nelle prime 7 settimane di programmazione 10,7 mila euro  e 9 euro nel primo weekend."
Dirty Difficult Dangerous,Wissam Charaf,"Darina Al Joundi, Ziad Jallad, Clara Couturet, Rifaat Tarabay, Kawsie Chandra",83,1 novembre 2023,Drammatico,"Intramovies, Cineclub Internazionale","3,00","3,18","3,56","3,25","Regia di Wissam Charaf. Un film Da vedere 2022 con Darina Al Joundi, Ziad Jallad, Clara Couturet, Rifaat Tarabay, Kawsie Chandra. Cast completo Titolo originale: Dirty, Difficult, Dangerous. Genere Drammatico, - Francia, Italia, Libano, 2022, durata 83 minuti. Uscita cinema mercoledì 1 novembre 2023 distribuito da Intramovies, Cineclub Internazionale. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,25 su 16 recensioni tra critica, pubblico e dizionari.","Due innamorati in difficoltà decidono di rischiare tutto e lasciare insieme Beirut. In Italia al Box Office Dirty Difficult Dangerous ha incassato nelle prime 3 settimane di programmazione 5,5 mila euro  e 3,5 euro nel primo weekend."
Vecchie Canaglie,Chiara Sani,"Lino Banfi, Andy Luotto, Alessandro Haber, Claudio Gregori, Pippo Santonastaso",,5 maggio 2022,Commedia,Orange Film,"1,00",,,,"Regia di Chiara Sani. Un film con Lino Banfi, Andy Luotto, Alessandro Haber, Claudio Gregori, Pippo Santonastaso. Cast completo Genere Commedia, - Italia, 2022, Uscita cinema giovedì 5 maggio 2022 distribuito da Orange Film. Valutazione: 1 Stelle, sulla base di 3 recensioni.","Un anziano si troverà suo malgrado a salvare la casa di riposo in cui vive dalle mire della cinica proprietaria. In Italia al Box Office Vecchie Canaglie ha incassato nelle prime 4 settimane di programmazione 9,5 mila euro  e 7,4 euro nel primo weekend."
Il sergente nella neve,Matteo Rovere,,,,Drammatico,01 Distribution,,,,,"Regia di Matteo Rovere. Un film Genere Drammatico, - Italia, Francia, 2022, distribuito da 01 Distribution.","La cronaca dell'esperienza personale vissuta dall'autore durante il servizio come sergente maggiore dei reparti mitraglieri nel battaglione ""Vestone"" dell'ARMIR nel corso della Ritirata di Russia nel gennaio 1943."
Space Monkeys,Aldo Iuliano,"Souad Arsane, Amanda Campana, Haroun Fall, Riccardo Mandolini, Ambrosia Caldarelli",90,28 novembre 2022,Drammatico,Freak Factory,"3,00","2,63","4,44","3,36","Regia di Aldo Iuliano. Un film con Souad Arsane, Amanda Campana, Haroun Fall, Riccardo Mandolini, Ambrosia Caldarelli. Genere Drammatico, - Italia, 2022, durata 90 minuti. Uscita cinema lunedì 28 novembre 2022 distribuito da Freak Factory. - MYmonetro 3,36 su 5 recensioni tra critica, pubblico e dizionari.","Il film fotografa la Generazione Z alle prese con la scoperta dei propri sentimenti. In Italia al Box Office Space Monkeys ha incassato  8,1 mila euro ."
Play Boy,Domenico Costanzo,"Alessandro Baccini, Giuseppe Ferraro",,31 marzo 2022,Commedia - Italia,,,,"1,00",,"Regia di Domenico Costanzo. Un film con Alessandro Baccini, Giuseppe Ferraro. Genere Commedia - Italia, 2022, Uscita cinema giovedì 31 marzo 2022","Una storia vera raccontata nell'omonimo libro di Giuseppe Ferraro, che è anche l'attore protagonista del film."
Prossimo tuo - Hotel Milano,Pasquale Marrazzo,"Michele Costabile, Jacopo Costantini, Luisa Vernelli, Lucia Vasini, Rossana Gay",96,,Drammatico,Zenit Distribution,"2,00",,"5,00","3,50","Regia di Pasquale Marrazzo. Un film con Michele Costabile, Jacopo Costantini, Luisa Vernelli, Lucia Vasini, Rossana Gay. Cast completo Genere Drammatico, - Italia, 2022, durata 96 minuti. distribuito da Zenit Distribution. Consigli per la visione di bambini e ragazzi: V.M. 14 - MYmonetro 3,50 su 3 recensioni tra critica, pubblico e dizionari.","La tragica storia di Luca e Riccardo, due giovani innamorati in un mondo carico di odio, traumi e frustrazione. In Italia al Box Office Prossimo tuo - Hotel Milano ha incassato nelle prime 5 settimane di programmazione 5,9 mila euro  e 2,8 euro nel primo weekend."
Bang Bang Baby,"Michele Alhaique, Giuseppe Bonito, Margherita Ferri","Arianna Becheroni, Adriano Giannini, Antonio Gerardi, Dora Romano, Lucia Mascino",,,Drammatico,,"3,50",,,,"Regia di Michele Alhaique, Giuseppe Bonito, Margherita Ferri. Una serie Da vedere 2022 con Arianna Becheroni, Adriano Giannini, Antonio Gerardi, Dora Romano, Lucia Mascino. Cast completo Genere Drammatico, Azione - Italia, 2022, Valutazione: 3,5 Stelle, sulla base di 3 recensioni. STAGIONI: 1 - EPISODI: 10","Un esplosivo racconto di formazione, una commedia dark-rock immersa nella cultura pop degli Anni 80."
Aiuto! È Natale!,Kristoph Tassin,"Richard Dreyfuss, Judd Nelson, Valeria Bilello, Lorenzo McGovern Zaini, Nathan Cooper",90,1 dicembre 2022,Commedia,RS Productions,"1,50",,,,"Regia di Kristoph Tassin. Un film con Richard Dreyfuss, Judd Nelson, Valeria Bilello, Lorenzo McGovern Zaini, Nathan Cooper. Cast completo Genere Commedia, - Italia, 2022, durata 90 minuti. Uscita cinema giovedì 1 dicembre 2022 distribuito da RS Productions. Valutazione: 1,5 Stelle, sulla base di 2 recensioni.","Una commedia natalizia che vede come protagonista una famiglia bizzarra: padre, madre, due figli, il nonno e... Babbo Natale. In Italia al Box Office Aiuto! È Natale! ha incassato  39,9 mila euro ."
One Day One Day,Olmo Parenti,,59,,Documentario - Italia,,,,,,"Regia di Olmo Parenti. Un film Genere Documentario - Italia, 2022, durata 59 minuti.","In Italia al Box Office One Day One Day ha incassato  23,2 mila euro ."
